title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes
Mystic River,movie,"Crime, Drama, Mystery",2003.0,7.9,499707.0
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993.0,8.2,1106161.0
The Lost World: Jurassic Park,movie,"Action, Adventure, Sci-Fi",1997.0,6.6,455435.0
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001.0,5.9,349724.0
Once Upon a Time in the West,movie,"Drama, Western",1968.0,8.5,363842.0
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999.0,7.5,393996.0
Das Boot,movie,"Drama, War",1981.0,8.4,276828.0
Inside Man,movie,"Crime, Drama, Mystery",2006.0,7.6,408988.0
A Fistful of Dollars,movie,"Drama, Western",1964.0,7.9,241178.0
Chocolat,movie,"Drama, Romance",2000.0,7.2,205773.0
Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",2004.0,8.0,830360.0
Basic Instinct,movie,"Drama, Mystery, Thriller",1992.0,7.1,228763.0
Driving Miss Daisy,movie,"Comedy, Drama",1989.0,7.3,120088.0
Summer in Berlin,movie,Drama,2005.0,6.9,3020.0
The Pianist,movie,"Biography, Drama, Music",2002.0,8.5,955127.0
Schindler's List,movie,"Biography, Drama, History",1993.0,9.0,1505708.0
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004.0,6.5,493055.0
Sissi,movie,"Comedy, Drama, History",1955.0,7.0,10471.0
Sissi: The Young Empress,movie,"Drama, History",1956.0,6.6,7648.0
Sissi: The Fateful Years of an Empress,movie,"Drama, History, Romance",1957.0,6.6,6247.0
Erin Brockovich,movie,"Biography, Drama",2000.0,7.5,230947.0
As It Is in Heaven,movie,"Comedy, Drama, Music",2004.0,7.5,18626.0
My Own Private Idaho,movie,Drama,1991.0,6.9,63984.0
The African Queen,movie,"Adventure, Drama, Romance",1951.0,7.7,86269.0
Good Will Hunting,movie,"Drama, Romance",1997.0,8.3,1121417.0
The Seventh Seal,movie,"Drama, Fantasy",1957.0,8.1,205881.0
The Green Mile,movie,"Crime, Drama, Fantasy",1999.0,8.6,1467667.0
Reservoir Dogs,movie,"Crime, Thriller",1992.0,8.3,1122515.0
Poseidon,movie,"Action, Adventure, Thriller",2006.0,5.7,112455.0
Monster,movie,"Biography, Crime, Drama",2003.0,7.3,166501.0
Marnie,movie,"Crime, Drama, Mystery",1964.0,7.1,55767.0
Love Actually,movie,"Comedy, Drama, Romance",2003.0,7.6,555815.0
Notting Hill,movie,"Comedy, Drama, Romance",1999.0,7.2,360187.0
One Flew Over the Cuckoo's Nest,movie,Drama,1975.0,8.7,1106598.0
Casino,movie,"Crime, Drama",1995.0,8.2,585337.0
Once Were Warriors,movie,"Crime, Drama",1994.0,7.9,37887.0
Terminator Salvation,movie,"Action, Adventure, Sci-Fi",2009.0,6.5,384056.0
Flashdance,movie,"Drama, Music, Romance",1983.0,6.2,61447.0
Rashomon,movie,"Crime, Drama, Mystery",1950.0,8.2,187341.0
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002.0,7.4,912475.0
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004.0,7.5,737054.0
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007.0,6.3,660993.0
Constantine,movie,"Action, Fantasy, Horror",2005.0,7.0,387905.0
The Mummy,movie,"Action, Adventure, Fantasy",1999.0,7.1,477763.0
Apollo 13,movie,"Adventure, Drama, History",1995.0,7.7,324070.0
The Birds,movie,"Drama, Horror, Mystery",1963.0,7.6,211493.0
Next Door,movie,"Mystery, Thriller",2005.0,6.4,10851.0
The Lives of Others,movie,"Drama, Mystery, Thriller",2006.0,8.4,423995.0
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003.0,5.9,307190.0
Big Fish,movie,"Adventure, Drama, Fantasy",2003.0,8.0,467117.0
The Da Vinci Code,movie,"Mystery, Thriller",2006.0,6.6,469408.0
The Conversation,movie,"Drama, Mystery, Thriller",1974.0,7.7,127502.0
The Terminal,movie,"Comedy, Drama, Romance",2004.0,7.4,509797.0
Titanic,movie,"Drama, Romance",1997.0,7.9,1326414.0
City of God,movie,"Crime, Drama",2002.0,8.6,829071.0
The Matrix,movie,"Action, Sci-Fi",1999.0,8.7,2131331.0
The Matrix Reloaded,movie,"Action, Sci-Fi",2003.0,7.2,647319.0
The Matrix Revolutions,movie,"Action, Sci-Fi",2003.0,6.7,557434.0
Out of Africa,movie,"Biography, Drama, Romance",1985.0,7.1,88735.0
Men in Black,movie,"Action, Adventure, Comedy",1997.0,7.3,632730.0
Men in Black II,movie,"Action, Adventure, Comedy",2002.0,6.2,415331.0
Munich,movie,"Drama, History, Thriller",2005.0,7.5,245618.0
Wild Strawberries,movie,"Drama, Romance",1957.0,8.1,119084.0
Wild Things,movie,"Crime, Drama, Mystery",1998.0,6.6,135102.0
The Bodyguard,movie,"Drama, Music, Romance",1992.0,6.4,152610.0
Ghostbusters,movie,"Action, Comedy, Fantasy",1984.0,7.8,466654.0
The Ninth Gate,movie,"Mystery, Thriller",1999.0,6.7,203062.0
Easy Rider,movie,"Adventure, Drama",1969.0,7.2,119849.0
Interview with the Vampire,movie,"Drama, Fantasy, Horror",1994.0,7.5,359654.0
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001.0,6.8,273309.0
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997.0,8.6,769291.0
Boyz n the Hood,movie,"Crime, Drama",1991.0,7.8,160649.0
Troy,movie,"Adventure, Drama",2004.0,7.3,587837.0
Saw IV,movie,"Horror, Mystery, Thriller",2007.0,5.9,170036.0
Central Station,movie,Drama,1998.0,8.0,46581.0
Oldboy,movie,"Action, Drama, Mystery",2003.0,8.3,668642.0
Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",2001.0,7.7,894623.0
Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",2002.0,7.4,721378.0
Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",2004.0,7.9,721192.0
Harry Potter and the Goblet of Fire,movie,"Adventure, Family, Fantasy",2005.0,7.7,709813.0
Harry Potter and the Order of the Phoenix,movie,"Action, Adventure, Family",2007.0,7.5,659300.0
Pulp Fiction,movie,"Crime, Drama",1994.0,8.9,2304598.0
Meet the Fockers,movie,"Comedy, Romance",2004.0,6.3,293649.0
The Piano,movie,"Drama, Music, Romance",1993.0,7.5,97634.0
Together,movie,"Comedy, Drama, Romance",2000.0,7.4,24914.0
Top Gun,movie,"Action, Drama",1986.0,6.9,520815.0
The Last Emperor,movie,"Biography, Drama, History",1987.0,7.7,114799.0
Shaun of the Dead,movie,"Comedy, Horror",2004.0,7.9,614517.0
V for Vendetta,movie,"Action, Drama, Sci-Fi",2005.0,8.1,1206974.0
The Evil Dead,movie,Horror,1981.0,7.4,240729.0
Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",2009.0,7.6,621043.0
Goodfellas,movie,"Biography, Crime, Drama",1990.0,8.7,1308677.0
Gandhi,movie,"Biography, Drama, History",1982.0,8.0,242848.0
Kolya,movie,"Comedy, Drama, Music",1996.0,7.7,16520.0
Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",2005.0,6.5,561623.0
Closely Watched Trains,movie,"Comedy, Drama, Romance",1966.0,7.6,14288.0
The Fog,movie,"Horror, Mystery",2005.0,3.7,40105.0
City of Angels,movie,"Drama, Fantasy, Romance",1998.0,6.7,130687.0
Persona,movie,"Drama, Thriller",1966.0,8.0,134942.0
Se7en,movie,"Crime, Drama, Mystery",1995.0,8.6,1883447.0
Shrek,movie,"Adventure, Animation, Comedy",2001.0,7.9,763268.0
Shrek 2,movie,"Adventure, Animation, Comedy",2004.0,7.4,524043.0
Shrek the Third,movie,"Adventure, Animation, Comedy",2007.0,6.1,343394.0
Austin Powers: International Man of Mystery,movie,"Adventure, Comedy",1997.0,7.0,264061.0
Austin Powers: The Spy Who Shagged Me,movie,"Action, Adventure, Comedy",1999.0,6.7,254661.0
Underworld: Evolution,movie,"Action, Fantasy, Thriller",2006.0,6.7,213028.0
Barren Lives,movie,Drama,1963.0,7.5,3108.0
Close Encounters of the Third Kind,movie,"Drama, Sci-Fi",1977.0,7.6,223731.0
Dune,movie,"Action, Adventure, Sci-Fi",1984.0,6.3,186220.0
In the Mood for Love,movie,"Drama, Romance",2000.0,8.1,174246.0
2046,movie,"Drama, Romance, Sci-Fi",2004.0,7.4,63299.0
The Mask,movie,"Comedy, Crime, Fantasy",1994.0,7.0,440741.0
Black Hawk Down,movie,"Action, Drama, History",2001.0,7.7,435364.0
Saving Private Ryan,movie,"Drama, War",1998.0,8.6,1552098.0
Sleepless in Seattle,movie,"Comedy, Drama, Romance",1993.0,6.8,197000.0
The Running Man,movie,"Action, Sci-Fi, Thriller",1987.0,6.6,173001.0
Tsotsi,movie,"Crime, Drama",2005.0,7.2,31915.0
A Man for All Seasons,movie,"Biography, Drama, History",1966.0,7.7,38330.0
Hook,movie,"Adventure, Comedy, Family",1991.0,6.8,280388.0
The Flintstones,movie,"Comedy, Family, Fantasy",1994.0,5.0,88687.0
Cinderella Man,movie,"Biography, Drama, Romance",2005.0,8.0,202968.0
Dawn of the Dead,movie,"Action, Horror",2004.0,7.2,279472.0
Godzilla,movie,"Action, Sci-Fi, Thriller",1998.0,5.5,207704.0
